ID,Title,Price,Brand,Model,Year of Manufacture,Used,Transmission,Color Family,Mileage (in km),Body Type,Version,Description,Poster,Poster Type,Fuel Type,Location.2,Date Posted,name,retail,Post Age
CAR014565,1+B7:U20079989 Toyota Crown 3.0 MT,195000,Toyota,Crown,1989,Yes,Manual,White,1,Saloon / Sedan,3,"The 1989 Toyota Crown with an Manual transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 195000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,ToyotaCrown,0,62
CAR014569,1992 Mazda B2200 2.2 4x2 MT,250000,Mazda,B2200,1992,Yes,Manual,White,1,Pickup / Truck,2.2 4x2,"The 1992 Mazda B2200 with an Manual transmission is for sale in Philippines. This vehicle runs on Diesel engine and is priced at 250000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Diesel,Mandaue,31/05/2019,MazdaB2200,991800,62
CAR014654,2000 Ford Expedition 4.6 4x2 AT,250000,Ford,Expedition,2000,Yes,Automatic,White,1,SUV,4.6 4x2,"The 2000 Ford Expedition with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 250000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,FordExpedition,4258000,62
CAR014656,2000 Ford Expedition 4.6 XLT 4x2 AT,250000,Ford,Expedition,2000,Yes,Automatic,White,1,SUV,4.6 XLT 4x2,"The 2000 Ford Expedition XLT with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 250000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,FordExpedition,4258000,62
CAR014683,2011 Toyota Corolla Altis 1.6 V AT,419000,Toyota,Corolla Altis,2011,Yes,Automatic,Silver / Grey,1,Saloon / Sedan,1.6 V,"The 2011 Toyota Corolla Altis V with an Automatic transmission is for sale in Cebu. This vehicle runs on Gasoline engine and is priced at 419000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Toyota Cebu - Pre Owned Vehicles,Dealer,Gasoline,Cebu,17/06/2019,ToyotaCorollaAltis,1131000,45
CAR014768,2012 Ford Fiesta 1.4 AT,330000,Ford,Fiesta,2012,Yes,Automatic,Blue,1,Saloon / Sedan,1.4,"The 2012 Ford Fiesta with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 330000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,FordFiesta,875000,62
CAR015111,2013 Honda City 1.5 AT,480000,Honda,City,2013,Yes,Automatic,Black,1,Saloon / Sedan,1.5,"The 2013 Honda City with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 480000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,HondaCity,868000,62
CAR015117,2013 Honda City 1.5 E AT,430000,Honda,City,2013,Yes,Automatic,Brown,1,Saloon / Sedan,1.5 E,"The 2013 Honda City E with an Automatic transmission is for sale in Cebu. This vehicle runs on Gasoline engine and is priced at 430000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Toyota Cebu - Pre Owned Vehicles,Dealer,Gasoline,Cebu,17/06/2019,HondaCity,876000,45
CAR015296,2013 Suzuki Swift 1.4 AT,450000,Suzuki,Swift,2013,Yes,Automatic,White,1,Hatchback / Wagon,1.4,"The 2013 Suzuki Swift with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 450000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,SuzukiSwift,799000,62
CAR015326,2013 Toyota FJ Cruiser 4.0 4x4 AT,1380000,Toyota,FJ Cruiser,2013,Yes,Automatic,Black,1,SUV,4.0 4x4,"The 2013 Toyota FJ Cruiser with Automatic transmission is for sale in Cebu. This vehicle runs on Diesel engine and is priced at 1380000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",John Erik Chu,Dealer,Diesel,Cebu,05/07/2019,ToyotaFJCruiser,2048000,27
CAR015333,2013 Toyota Fortuner 2.5 4x2 AT,890000,Toyota,Fortuner,2013,Yes,Automatic,Black,1,SUV,2.5 4x2,"Toyota Fortuner 2013 Automatic Used for sale. The Toyota Fortuner runs on Diesel and has a promo price of PHP 890000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.",Toyota Cebu - Pre Owned Vehicles,Dealer,Diesel,Cebu,19/02/2019,ToyotaFortuner,1697000,163
CAR015345,2013 Toyota Fortuner 2.7 4x2 AT,850000,Toyota,Fortuner,2013,Yes,Automatic,Beige,1,SUV,2.7 4x2,"The 2013 Toyota Fortuner with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 850000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,31/05/2019,ToyotaFortuner,1612000,62
CAR015364,2013 Toyota Hiace 2.5 GL GRANDIA MT,1100000,Toyota,Hiace,2013,Yes,Manual,Silver / Grey,1,Van / Minivan / Minibus,2.5 GL GRANDIA,"The 2013 Toyota Hiace GL GRANDIA with a Manual transmission is for sale in Cebu. This vehicle runs on Diesel engine and is priced at 1100000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Toyota Cebu - Pre Owned Vehicles,Dealer,Diesel,Cebu,17/06/2019,ToyotaHiace,1605000,45
